singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
9xSEUleGSi,4.0,10.0,0.0,0.0,0.0,3,lev9FykjUA,Lateral Raise,Kw4LoUymGK,2018-01-09,fake_id_291
2k7DoC9F4w,45.0,15.0,0.0,0.0,0.0,3,uqkwL27Oxx,Hammerstrength Shrug,aZfAp5Oolg,2018-12-04,fake_id_291
eSG0UGH0Sm,20.0,10.0,0.0,0.0,0.0,1,EPLz49GdBm,Smith Machine Upright Row,UQ9yYC4Or6,2018-02-04,fake_id_291
ARQspjabu1,13.607787283069193,12.0,0.0,0.0,0.0,1,m1ifB5USkn,Shotgun Row,vaBfwfTLpp,2018-12-10,fake_id_289
XVYJxUWJnI,0.0,7.0,0.0,0.0,0.0,1,ChayE6qZv4,Neutral Grip Pull Up,5lAQ37d3wS,2018-04-20,fake_id_291
MP8kRSDtne,8.0,12.0,0.0,0.0,0.0,3,LxZKCYxALm,Zottman Curl,nJSe908MCO,2019-06-25,fake_id_291
8LdHSN6Syq,11.339822735890994,10.0,0.0,0.0,0.0,1,BCsGF0xvz2,Incline Dumbbell Curl,XBaeBXvOBF,2018-07-11,fake_id_283
069C2Zk8hV,0.0,12.0,0.0,0.0,0.0,1,5xxAhQFJz4,Bosu Ball Squat,zIbLaf4qMG,2017-10-30,fake_id_285
k6MpCQQCE4,8.0,12.0,0.0,0.0,0.0,1,IpyTEZOLzi,Dumbbell Upright Row,GrnqHmjHnS,2018-03-31,fake_id_291
c6g2OC70sn,0.0,10.0,0.0,0.0,0.0,1,LSsU1jx18W,Decline Leg Raise,GrnqHmjHnS,2018-03-31,fake_id_291
poytUSdBhu,61.23504277381137,12.0,0.0,0.0,0.0,3,gjHRTSqa9v,Sumo Deadlift,sgMztAK69w,2019-01-03,fake_id_289
elWhXpOrUr,9.207936061543489,15.0,0.0,0.0,0.0,3,sLo9fZ81wO,Single Arm Lat Pulldown,6vdPpOLVzV,2019-04-05,fake_id_286
C7prRLxFDl,7.5,10.0,0.0,0.0,0.0,1,TllukJ6B1J,Plate Twist,RtyQgWGGls,2018-02-02,fake_id_285
61kQg0z1Ae,21.3,15.0,0.0,0.0,0.0,1,VnKq8vhisj,Cable Bicep Curl,3i8IUmXF7D,2019-05-02,fake_id_293
MDGn2J3zS1,4.535929094356399,5.0,0.0,0.0,0.0,1,bfpv5FJUcC,Dumbbell Incline Fly,9c3SKKuiFL,2018-05-10,fake_id_285
DoepX3N3zi,9.071858188712797,10.0,0.0,0.0,0.0,3,NGoKcsaxMW,Tricep Kickback,LdrUBOZwfq,2019-06-07,fake_id_286
ZIip4J2JYX,4.535929094356399,8.0,0.0,0.0,0.0,3,C3fAWIxEsQ,Single Leg Kickback,QCaJViT9Km,2019-01-21,fake_id_286
F9JSPRQrD1,0.0,25.0,0.0,0.0,0.0,1,A8fG3zmWrm,Mountain Climber,nUxLe91wO5,2018-10-29,fake_id_291
bce1iHh3cA,0.0,0.0,0.0,15.0,0.0,1,pzbxY4ABBn,Supine Back Stretch,gC3pLzLZp0,2019-08-15,fake_id_294
a3FW3ITEYY,35.0,6.0,0.0,0.0,0.0,2,jLkrqdAk37,Sumo Deadlift,BT5ByQt2Ut,2019-03-31,fake_id_291
cWoxoTKrp7,35.0,6.0,0.0,0.0,0.0,1,jLkrqdAk37,Sumo Deadlift,BT5ByQt2Ut,2019-03-31,fake_id_291
2gAZF6FzUP,22.67964547178199,8.0,0.0,0.0,0.0,5,WdVjgGA1W4,Ab Crunch Machine,LvDyyjoNkk,2019-01-18,fake_id_286
IZ1FVhBljF,6.8038936415345965,12.0,0.0,0.0,0.0,3,6McNk4Rkhn,Tricep Kickback,VN28EP9u9P,2019-03-12,fake_id_286
EgYcYYquN0,20.0,5.0,0.0,0.0,0.0,1,jTtn7GI62Z,Cable Pull Through,6VQ2NJPBOQ,2017-12-19,fake_id_285
8qJePELamZ,7.620360878518747,10.0,0.0,0.0,0.0,2,yCBAdZUssD,Cable Rope Overhead Triceps Extension,2J8TLzeKmw,2019-02-12,fake_id_286
4vN6ud54Of,9.071858188712797,12.0,0.0,0.0,0.0,2,eYhYMngFkn,Single Arm Cable Bicep Curl,uUgMXgKIW8,2018-11-21,fake_id_283
2cLh3IwUEi,9.071858188712797,10.0,0.0,0.0,0.0,3,pSPRC2iHsv,Dumbbell Reverse Fly,N6tOnp7c3e,2018-07-03,fake_id_283
jQxBRliPbd,20.0,15.0,0.0,0.0,0.0,2,A4vlCBIf6M,Good Morning,UgMjGtnUmQ,2019-07-27,fake_id_291
